,X,observation,trial,load,stimulus_type,ended_on,url_code,trial_type,trial_seq,color_offset,color_angle_test,color_angle_deviation,color_angle_abs_deviation,stimulus_seq
15,403,01ea1,baseline1,1,ongoing,response,574586893,ongoing,1,40.3112554180565,-10.6014817887448,2.60148178874476,2.60148178874476,10
16,427,01ea1,baseline1,1,ongoing,response,574586893,ongoing,1,-7.82559099226916,-61.126420957136,5.12642095713602,5.12642095713602,11
17,451,01ea1,baseline1,1,ongoing,response,574586893,ongoing,1,14.964957296165,-27.0657292558894,-4.93427074411056,4.93427074411056,12
18,475,01ea1,baseline1,1,ongoing,response,574586893,ongoing,1,26.3926726093493,131.792067344078,11.207932655922,11.207932655922,13
19,499,01ea1,baseline1,1,ongoing,response,574586893,ongoing,1,-139.156682506276,-112.509229729312,3.50922972931198,3.50922972931198,14
20,523,01ea1,baseline1,1,ongoing,response,574586893,ongoing,1,-9.15031513902815,-83.3360586905673,-10.6639413094326,10.6639413094326,15
21,547,01ea1,baseline1,1,ongoing,response,574586893,ongoing,1,39.2923252587715,153.419346206034,-23.4193462060341,23.4193462060341,16
22,571,01ea1,baseline1,1,ongoing,response,574586893,ongoing,1,82.2044584754095,-15.9048465660474,0.904846566047354,0.904846566047354,17
23,595,01ea1,baseline1,1,ongoing,response,574586893,ongoing,1,109.606271234039,94.9813827423343,67.0186172576657,67.0186172576657,18
24,619,01ea1,baseline1,1,ongoing,response,574586893,ongoing,1,49.4305117561495,-71.1593102515782,-10.8406897484218,10.8406897484218,19
25,643,01ea1,baseline1,1,ongoing,response,574586893,ongoing,1,91.8596239509299,-48.5481208096158,7.54812080961574,7.54812080961574,20
